job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Rockwell Automation Early Careers:/job/Mayfield-Heights-Ohio-United-States/Co-op--Delivery---Projects--LCS-_R26-5039-1,Rockwell Automation Early Careers,"Co-op, Delivery - Projects (LCS)","Mayfield Heights, Ohio, United States",,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Mayfield-Heights-Ohio-United-States/Co-op--Delivery---Projects--LCS-_R26-5039-1,Posted 3 Days Ago,2026-09-01,2026-09-02T05:20:28+00:00,2026-09-01 22:20 Tue,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Mayfield-Heights-Ohio-United-States/Co-op--Delivery---Projects--LCS-_R26-5039-1
Rockwell Automation Early Careers:/job/Cambridge-Ontario-Canada/Intern--Firmware-Engineering_R26-4530,Rockwell Automation Early Careers,"Co-op, Firmware Engineering (12 months)","Cambridge, Ontario, Canada",,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Cambridge-Ontario-Canada/Intern--Firmware-Engineering_R26-4530,Posted 7 Days Ago,2026-07-29,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Cambridge-Ontario-Canada/Intern--Firmware-Engineering_R26-4530
Rockwell Automation Early Careers:/job/Mayfield-Heights-Ohio-United-States/Co-op--Process-Standardization---Delivery-Automation--LCS-_R26-5072,Rockwell Automation Early Careers,"Co-op, Process Standardization & Delivery Automation (LCS)",Mayfield-Heights-Ohio-United-States,,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Mayfield-Heights-Ohio-United-States/Co-op--Process-Standardization---Delivery-Automation--LCS-_R26-5072,Posted 3 Days Ago,2026-09-01,2026-08-20T21:42:14+00:00,2026-08-20 14:42 Thu,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Mayfield-Heights-Ohio-United-States/Co-op--Process-Standardization---Delivery-Automation--LCS-_R26-5072
Rockwell Automation Early Careers:/job/Milwaukee-Wisconsin-United-States/EDGE-Associate--Information-Technology-Rotational-Program_R26-5375,Rockwell Automation Early Careers,"EDGE Associate, Information Technology Rotational Program","Milwaukee, Wisconsin, United States",,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Milwaukee-Wisconsin-United-States/EDGE-Associate--Information-Technology-Rotational-Program_R26-5375,Posted 3 Days Ago,2026-09-01,2026-09-01T05:43:53+00:00,2026-08-31 22:43 Mon,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Milwaukee-Wisconsin-United-States/EDGE-Associate--Information-Technology-Rotational-Program_R26-5375
Rockwell Automation Early Careers:/job/Brampton-Ontario-Canada/EDGE-Program--Technical-Sales---Consulting--Account-Manager--Canada-_R26-5258-1,Rockwell Automation Early Careers,"EDGE Program, Technical Sales & Consulting: Account Manager (Canada)",Brampton-Ontario-Canada,,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Brampton-Ontario-Canada/EDGE-Program--Technical-Sales---Consulting--Account-Manager--Canada-_R26-5258-1,Posted 3 Days Ago,2026-09-01,2026-09-01T04:17:39+00:00,2026-08-31 21:17 Mon,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Brampton-Ontario-Canada/EDGE-Program--Technical-Sales---Consulting--Account-Manager--Canada-_R26-5258-1
Rockwell Automation Early Careers:/job/Mequon-Wisconsin-United-States/EDGE-Program--Integrated-Supply-Chain--January-2027-Start-_R26-5177-1,Rockwell Automation Early Careers,EDGE Program: Integrated Supply Chain (January 2027 Start),Mequon-Wisconsin-United-States,,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Mequon-Wisconsin-United-States/EDGE-Program--Integrated-Supply-Chain--January-2027-Start-_R26-5177-1,Posted 3 Days Ago,2026-09-01,2026-09-01T05:43:53+00:00,2026-08-31 22:43 Mon,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Mequon-Wisconsin-United-States/EDGE-Program--Integrated-Supply-Chain--January-2027-Start-_R26-5177-1
Rockwell Automation Early Careers:/job/Milwaukee-Wisconsin-United-States/EDGE--Technical-Sales---Consulting--Account-Manager--US-_R26-5253-2,Rockwell Automation Early Careers,"EDGE, Technical Sales & Consulting: Account Manager (US)",Milwaukee-Wisconsin-United-States,,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Milwaukee-Wisconsin-United-States/EDGE--Technical-Sales---Consulting--Account-Manager--US-_R26-5253-2,Posted 3 Days Ago,2026-09-01,2026-09-01T05:43:53+00:00,2026-08-31 22:43 Mon,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Milwaukee-Wisconsin-United-States/EDGE--Technical-Sales---Consulting--Account-Manager--US-_R26-5253-2
Rockwell Automation Early Careers:/job/Brampton-Ontario-Canada/EDGE--Technical-Sales---Consulting--Technical-Sales-Specialist--Canada-_R26-5257-1,Rockwell Automation Early Careers,"EDGE, Technical Sales & Consulting: Technical Sales Specialist (Canada)",Brampton-Ontario-Canada,,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Brampton-Ontario-Canada/EDGE--Technical-Sales---Consulting--Technical-Sales-Specialist--Canada-_R26-5257-1,Posted 3 Days Ago,2026-09-01,2026-09-01T04:17:39+00:00,2026-08-31 21:17 Mon,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Brampton-Ontario-Canada/EDGE--Technical-Sales---Consulting--Technical-Sales-Specialist--Canada-_R26-5257-1
Rockwell Automation Early Careers:/job/Mayfield-Heights-Ohio-United-States/EDGE--Technical-Sales---Consulting--Technical-Sales-Specialist--US-_R26-5255-1,Rockwell Automation Early Careers,"EDGE, Technical Sales & Consulting: Technical Sales Specialist (US)",Mayfield-Heights-Ohio-United-States,,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Mayfield-Heights-Ohio-United-States/EDGE--Technical-Sales---Consulting--Technical-Sales-Specialist--US-_R26-5255-1,Posted 3 Days Ago,2026-09-01,2026-09-01T04:17:39+00:00,2026-08-31 21:17 Mon,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Mayfield-Heights-Ohio-United-States/EDGE--Technical-Sales---Consulting--Technical-Sales-Specialist--US-_R26-5255-1
Rockwell Automation Early Careers:/job/Austin-Texas-United-States/Intern--Applied-AI_R26-5631-1,Rockwell Automation Early Careers,"Intern, Applied AI","Austin, Texas, United States",,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Austin-Texas-United-States/Intern--Applied-AI_R26-5631-1,Posted 7 Days Ago,2026-07-29,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Austin-Texas-United-States/Intern--Applied-AI_R26-5631-1
